video_name,location,pl_start,start_date_time,pl_end,end_date_time,duration
Articles_ Omission of A and An _ Article in English Grammar,C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4,0,"6/11/2023, 12:59:35 PM",7.502926,"5/17/2023, 2:59:42 PM",72.502926
Articles_ Omission of A and An _ Article in English Grammar,C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4,0,"6/17/2023, 12:59:35 PM",7.502926,"5/17/2023, 12:59:42 PM",73.502926
Articles_ Omission of A and An _ Article in English Grammar,C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4,0,"6/17/2023, 12:59:35 PM",8.502926,"5/17/2023, 11:59:42 PM",37.502926
Articles_ Omission of A and An _ Article in English Grammar,C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4,0,"6/17/2023, 12:59:35 PM",7.502926,"5/17/2023, 12:59:42 PM",7.502926
Articles_ Omission of A and An _ Article in English Grammar,C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4,0,"6/1/2023, 12:21:37 PM",2.012487,"6/1/2023, 12:21:39 PM",2.012487
Articles_ Omission of A and An _ Article in English Grammar,C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4,0,"6/1/2023, 12:22:03 PM",2.39078,"6/1/2023, 12:22:06 PM",2.39078
Articles_ Omission of A and An _ Article in English Grammar,C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4,0,"6/1/2023, 12:22:33 PM",2.362632,"6/1/2023, 12:22:35 PM",2.362632
Articles_ Omission of A and An _ Article in English Grammar,C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4,0,"6/1/2023, 2:22:07 PM",4.047805,"6/1/2023, 2:22:11 PM",4.047805
