route,postcode,ddate
Hawke's Bay (HB),4142,
Hawke's Bay (HB),4143,
Hawke's Bay (HB),4144,
Hawke's Bay (HB),4145,
Hawke's Bay (HB),4146,
Hawke's Bay (HB),4147,
Hawke's Bay (HB),4148,
Hawke's Bay (HB),4149,
Hawke's Bay (HB),4153,
Hawke's Bay (HB),4154,
Hawke's Bay (HB),4155,
Hawke's Bay (HB),4156,
Hawke's Bay (HB),4157,
Hawke's Bay (HB),4158,
Hawke's Bay (HB),4159,
Hawke's Bay (HB),4160,
Hawke's Bay (HB),4161,
Hawke's Bay (HB),4162,
Hawke's Bay (HB),4163,
Hawke's Bay (HB),4164,
Hawke's Bay (HB),4165,
Hawke's Bay (HB),4166,
Hawke's Bay (HB),4240,
Hawke's Bay (HB),4241,
Hawke's Bay (HB),4242,
Hawke's Bay (HB),4243,
Hawke's Bay (HB),4244,
Hawke's Bay (HB),4245,
Hawke's Bay (HB),4440,
Hawke's Bay (HB),4441,
Hawke's Bay (HB),4442,
Hawke's Bay (HB),4443,
Hawke's Bay (HB),4444,
Hawke's Bay (HB),4445,
Hawke's Bay (HB),4446,
Hawke's Bay (HB),4448,
Hawke's Bay (HB),4340,
Hawke's Bay (HB),4341,
Hawke's Bay (HB),4342,
Hawke's Bay (HB),4343,
Hawke's Bay (HB),4344,
Hawke's Bay (HB),4345,
Hawke's Bay (HB),4347,
Hawke's Bay (HB),4348,
Hawke's Bay (HB),4349,
Hawke's Bay (HB),4351,
Hawke's Bay (HB),4352,
Hawke's Bay (HB),4353,
Hawke's Bay (HB),4360,
Hawke's Bay (HB),4350,
Hawke's Bay (HB),4110,
Hawke's Bay (HB),4120,
Hawke's Bay (HB),4130,
Taupo,3377,2023-04-29
Taupo,3378,2023-04-15
Taupo,3379,2023-04-22
Taupo,3384,2023-04-06
Taupo,3385,2023-05-06
Taupo,3330,2023-05-20
Taupo,3332,2023-05-27
Taupo,,2023-06-03
Taupo,,2023-06-24
Taupo,,2023-07-15
Taupo,,2023-08-05
Taupo,,2023-08-26
Taupo,,2023-09-16
Taupo,,2023-10-07
Taupo,,2023-10-28
Taupo,,2023-11-18
Taupo,,2023-12-09
Taupo,,2023-12-23
Taupo,,2023-06-10
Taupo,,2023-06-17
Taupo,,2023-07-01
Taupo,,2023-07-08
Taupo,,2023-07-22
Taupo,,2023-07-29
Taupo,,2023-08-12
Taupo,,2023-08-19
Taupo,,2023-09-02
Taupo,,2023-09-09
Taupo,,2023-09-23
Taupo,,2023-09-30
Taupo,,2023-10-14
Taupo,,2023-10-21
Taupo,,2023-11-04
Taupo,,2023-11-11
Taupo,,2023-11-25
Taupo,,2023-12-02
Taupo,,2023-12-16
